iter	Passed	Remaining
402	11667	16212
403	11695	16182
404	11722	16151
405	11751	16121
406	11780	16092
407	11809	16064
408	11838	16034
409	11865	16004
410	11894	15975
411	11923	15946
412	11956	15922
413	11984	15892
414	12013	15863
415	12041	15833
416	12071	15805
417	12099	15776
418	12128	15746
419	12159	15720
420	12188	15691
421	12216	15661
422	12244	15631
423	12273	15602
424	12301	15571
425	12329	15542
426	12358	15512
427	12388	15485
428	12418	15457
429	12448	15430
430	12478	15402
431	12523	15393
432	12555	15368
433	12589	15345
434	12619	15317
435	12647	15287
436	12675	15257
437	12704	15227
438	12732	15197
439	12761	15168
440	12791	15140
441	12818	15109
442	12846	15079
443	12874	15049
444	12903	15019
445	12931	14989
446	12959	14959
447	12987	14929
448	13015	14899
449	13043	14870
450	13072	14840
451	13101	14811
452	13129	14781
453	13157	14751
454	13186	14722
455	13215	14693
456	13242	14662
457	13270	14632
458	13300	14604
459	13328	14574
460	13356	14544
461	13383	14513
462	13411	14483
463	13440	14454
464	13469	14424
465	13497	14395
466	13526	14366
467	13554	14336
468	13583	14307
469	13612	14278
470	13640	14248
471	13669	14219
472	13698	14190
473	13727	14161
474	13755	14132
475	13782	14101
476	13811	14071
477	13839	14042
478	13868	14012
479	13896	13983
480	13926	13955
481	13953	13924
482	13982	13895
483	14010	13865
484	14038	13835
485	14066	13805
486	14093	13775
487	14122	13746
488	14150	13716
489	14177	13685
490	14205	13655
491	14233	13626
492	14261	13596
493	14289	13566
494	14318	13537
495	14347	13508
496	14375	13478
497	14404	13449
498	14432	13420
499	14461	13391
500	14490	13362
501	14518	13332
502	14547	13303
503	14575	13274
504	14603	13244
505	14631	13214
506	14658	13184
507	14689	13157
508	14718	13128
509	14746	13098
510	14776	13070
511	14803	13039
512	14832	13010
513	14863	12983
514	14891	12954
515	14920	12925
516	14952	12898
517	14980	12869
518	15008	12839
519	15036	12810
520	15065	12781
521	15093	12751
522	15124	12724
523	15153	12695
524	15181	12665
525	15211	12637
526	15238	12607
527	15266	12577
528	15294	12548
529	15323	12519
530	15350	12488
531	15379	12459
532	15408	12430
533	15436	12401
534	15464	12371
535	15493	12342
536	15521	12313
537	15550	12284
538	15579	12255
539	15608	12226
540	15638	12198
541	15666	12168
542	15694	12139
543	15722	12109
544	15750	12080
545	15777	12049
546	15804	12019
547	15833	11990
548	15862	11962
549	15892	11933
550	15920	11904
551	15949	11875
552	15977	11845
553	16012	11821
554	16039	11791
555	16067	11761
556	16096	11732
557	16124	11703
558	16153	11674
559	16181	11644
560	16209	11615
561	16237	11585
562	16265	11556
563	16295	11528
564	16324	11499
565	16352	11470
566	16381	11440
567	16409	11411
568	16440	11383
569	16468	11354
570	16496	11325
571	16524	11295
572	16552	11266
573	16580	11236
574	16608	11206
575	16635	11177
576	16663	11147
577	16692	11118
578	16720	11089
579	16750	11061
580	16779	11032
581	16807	11002
582	16835	10973
583	16863	10943
584	16892	10915
585	16924	10888
586	16954	10860
587	16983	10831
588	17011	10801
589	17039	10772
590	17067	10742
591	17094	10713
592	17123	10684
593	17153	10655
594	17183	10627
595	17211	10598
596	17240	10569
597	17268	10540
598	17296	10510
599	17323	10480
600	17351	10451
601	17379	10421
602	17407	10392
603	17436	10363
604	17463	10333
605	17491	10304
606	17519	10275
607	17550	10247
608	17579	10218
609	17608	10189
610	17636	10160
611	17665	10131
612	17708	10111
613	17741	10084
614	17771	10055
615	17798	10026
616	17826	9996
617	17855	9967
618	17883	9938
619	17912	9909
620	17940	9880
621	17968	9850
622	17997	9821
623	18024	9792
624	18053	9763
625	18081	9734
626	18109	9704
627	18136	9674
628	18164	9645
629	18191	9615
630	18218	9585
631	18246	9556
632	18275	9527
633	18304	9498
634	18332	9469
635	18360	9439
636	18387	9410
637	18415	9380
638	18443	9351
639	18473	9323
640	18502	9294
641	18530	9265
642	18560	9236
643	18588	9207
644	18617	9178
645	18646	9149
646	18675	9121
647	18703	9091
648	18732	9063
649	18761	9034
650	18791	9006
651	18819	8976
652	18847	8947
653	18875	8918
654	18904	8889
655	18932	8860
656	18960	8831
657	18990	8802
658	19018	8773
659	19046	8743
660	19074	8714
661	19101	8685
662	19129	8656
663	19157	8626
664	19186	8597
665	19216	8569
666	19244	8540
667	19272	8510
668	19300	8481
669	19327	8452
670	19356	8423
671	19388	8395
672	19419	8367
673	19449	8339
674	19480	8311
675	19513	8284
676	19543	8256
677	19571	8227
678	19600	8198
679	19629	8169
680	19657	8140
681	19686	8111
682	19715	8082
683	19744	8053
684	19773	8024
685	19803	7996
686	19833	7967
687	19863	7939
688	19892	7910
689	19921	7882
690	19950	7852
691	19978	7823
692	20006	7794
693	20036	7766
694	20065	7737
695	20093	7708
696	20120	7678
697	20149	7649
698	20180	7621
699	20209	7592
700	20238	7564
701	20267	7535
702	20296	7506
703	20323	7477
704	20352	7448
705	20380	7419
706	20409	7390
707	20438	7361
708	20468	7333
709	20497	7304
710	20527	7275
711	20555	7246
712	20584	7217
713	20612	7188
714	20641	7159
715	20669	7130
716	20698	7101
717	20727	7072
718	20756	7043
719	20785	7014
720	20813	6985
721	20842	6957
722	20870	6927
723	20898	6898
724	20926	6869
725	20954	6840
726	20982	6811
727	21011	6782
728	21039	6753
729	21067	6724
730	21095	6695
731	21123	6665
732	21150	6636
733	21178	6607
734	21207	6578
735	21236	6549
736	21265	6520
737	21292	6491
738	21320	6462
739	21351	6434
740	21380	6405
741	21409	6376
742	21437	6347
743	21466	6318
744	21495	6289
745	21523	6260
746	21552	6232
747	21580	6202
